id,to,realtion,year
ft,bs,2,2022
ft,mt,2,2022
ft,jb,2,2022
bs ,jb,2,2022
bs ,ft,2,2022
bs ,mt,2,2022
mt,bs,2,2022
mt,ft,2,2022
mt,jb,2,2022
jb,mt,2,2022
jb,ft,2,2022
jb,bs,2,2022
ck,fb,2,2022
ck,coe,2,2022
ck,tl,2,2022
fb,ck,2,2022
fb,coe,2,2022
fb,tl,2,2022
coe,fb,2,2022
coe,tl,2,2022
coe,ck,2,2022
tl,ck,2,2022
tl,coe,2,2022
tl,fb,2,2022
ft,FDP,2,2022
ft,Julis,2,2022
bs ,FDP,2,2022
bs ,Julis,2,2022
mt,FDP,2,2022
mt,Julis,2,2022
jb,FDP,2,2022
jb,Julis,2,2022
ck,Gruene,2,2022
fb,Gruene,2,2022
fb,GrueneJugend,2,2022
coe,Gruene,2,2022
tl,Gruene,2,2022
tl,GrueneJugend,2,2022
rss,SPD,2,2022
BMWK,fb,1,2021
BMF,fl,1,2021
BIH,rss,1,2021
HA,ck,2,2022
HA,tl,2,2022
BdJ,bs,1,2021
BfEL,coe,1,2021
BfDuV,mt,1,2021
BfUNnSV,ck,1,2021
BBF,js,1,2021
EUP,mt,2,2022
EUP,jb,2,2022
EUP,fb,2,2022
EUP,bs,2,2022
EUP,ck,2,2022
EUP,tl,2,2022
KfW,rss,2,2022
KfW,ft,2,2022
KfW,mt,2,2022
GzSsF,ft,2,2022
GzSsF,coe,2,2022
KTHS,mt,2,2022
KTHS,coe,2,2022
RE,fl,7,2022
CA,fl,7,2022
HD,fl,7,2022
TUE,fl,7,2022
KO,bs,7,2022
TUE,mt,7,2022
MA,jb,7,2022
GSoEaSS,jb,7,2022
TUE,ck,7,2022
IPP,fb,7,2022
CUNW,fb,7,2022
EFfSR,coe,7,2022
TH KA,tl,7,2022
FR,rss,7,2022
ZU,rss,7,2022
